m_S,kappa,lambda_S,C,Delta,gamma,Psi,alpha_s,Pi_S,kinetic_VEV
1.6877350963386655,0.48472268417209524,0.42221433800079833,0.2767123652483256,1.773856345158011,18.39214580947712,1193.2467757400386,0.49847226841720954,0.298116577844052,0.00930190905418484
1.7106354702751851,0.4852620668319318,0.4121035068967209,0.27153026602597213,1.771631042676299,16.331209395490365,1159.1391786554736,0.4985262066831932,0.21240283921070624,0.01176819533099109
1.695990419651218,0.48513261708571354,0.41944077623816856,0.25984909654666594,1.7558060467817254,15.089772250202463,1456.7347014698921,0.49851326170857135,0.20647137036655527,0.013539034990936151
1.7006245937531008,0.4689518169173186,0.4199245331489469,0.29750419967517217,1.7819570786124952,16.3952787795333,1081.6786777281498,0.49689518169173186,0.283247021139279,0.011812909231670731
1.6959744008165591,0.49094255826857053,0.42342130207018236,0.27994671718137903,1.7909671206303777,14.57373620611548,1378.0882526689243,0.49909425582685707,0.33123405895397884,0.015101963538589253
1.732784172767634,0.49189199628159647,0.42058430538474756,0.27864696006144984,1.7640394552190553,15.29085857592052,1337.8762667175815,0.49918919962815966,0.10929421017552698,0.013309227413855769
1.7047975416289312,0.4928692487189953,0.41477599766686674,0.2851659192831329,1.7772353667554786,16.760502217491997,1329.9821003522322,0.4992869248718995,0.2522308909024331,0.011243870588352597
1.6891343360656617,0.4891156391727708,0.4252098741998614,0.25819484262354353,1.7918357395637754,16.43645769490597,1304.1975103085588,0.4989115639172771,0.357500512302078,0.011884473233173355
1.7173381736815478,0.48355886375094853,0.42292014700014213,0.25556200898204695,1.7814684807425483,16.835451149218205,1189.1246657775919,0.49835588637509487,0.22437954509528923,0.011197131222361857
1.6866873452504347,0.4734717140910989,0.40843186182392655,0.2721992430079763,1.7905151731927607,16.048467633892024,1105.344427372893,0.4973471714091099,0.3610303848055425,0.012447693035512306
1.7081329539250714,0.4888041101655301,0.420669437891561,0.27845491068845146,1.7758173363375684,15.934599350142776,1566.4423378542358,0.498880411016553,0.23580902375226698,0.012419790962300985
1.6756049481418034,0.48552415783787845,0.4192734160086896,0.27213097226915645,1.7760060119258927,17.16622534432615,1453.430133090838,0.49855241578378784,0.3465454121596183,0.010703831025467299
1.6850772092665236,0.4851962239450412,0.4247749615251838,0.2482948026903753,1.8034039787888032,15.769203642799154,1525.7995803385013,0.4985196223945041,0.41278070952183077,0.013078758593367058
1.7079529185380369,0.48874107403366807,0.4244769578131466,0.2761281672453086,1.749282872490801,16.56691711493293,1248.855886952667,0.4988741074033668,0.1428873960470698,0.011149019855899982
1.7160769986999311,0.4848549342143831,0.41772150711113804,0.28507454462834947,1.767197246969072,14.44307617929119,1278.3771046555505,0.49848549342143833,0.178065844228104,0.014970994429207515
1.7075705242178496,0.4816636846316074,0.41194641975112284,0.25753398221022455,1.7621001355080097,15.231064142782294,1376.1198950858518,0.49816636846316076,0.1891997923797244,0.013384454479833675
1.7032652757641764,0.47577605919738547,0.41482003383507576,0.2915982389232967,1.7687001615218576,17.00355601886507,1054.3608260200263,0.49757760591973854,0.2271876617434292,0.010820041284890947
1.7004834445661607,0.48516899592353396,0.42008206240612794,0.2653603803241003,1.778520330796723,16.6875695370872,1360.70258155468,0.4985168995923534,0.2714906218136899,0.01135877485477333
1.6828221701444888,0.49700278226785444,0.41816625350974745,0.2811551302835823,1.7531946140768078,14.706181745369024,1317.061313002931,0.4997002782267854,0.24180089849811992,0.01421217013664111
1.6942023368740795,0.47639467082374776,0.4207961928363311,0.2900857176515754,1.7773981865596278,16.679049681916375,1049.2323203450937,0.4976394670823748,0.28882275531586155,0.011356038620210684
1.6980904184356032,0.493240864227639,0.4240226206488075,0.26358585117406963,1.7778090256369354,15.619032564872183,1245.5359220683833,0.4993240864227639,0.2770938624533481,0.012955731908943904
1.7208568333932839,0.49093203510749367,0.41872884593469634,0.26241584779011184,1.772392285937651,17.534653628623175,1074.319984909413,0.4990932035107494,0.18002617421493206,0.010217045311291204
1.710154274343527,0.47151897822674105,0.4165440161196457,0.27792296822511064,1.777289989750445,18.6381136342238,1594.5356132823053,0.4971518978226741,0.23413206561170208,0.009093114906282479
1.6785543976695592,0.4900839937039558,0.41244432349383037,0.3031362573115247,1.7739088152329934,15.455130866451167,1401.8883308153909,0.4990083993703956,0.32920761882550575,0.013173986382357592
1.709861259540922,0.48536088802524174,0.39839690821904483,0.25215556059247257,1.772971489926781,16.048410112744868,1326.759662223666,0.4985360888025242,0.2198023772143216,0.012205047553857876
1.6992237657937552,0.48454821144066007,0.41488342050896854,0.2781467856345611,1.7939267521623976,17.673476044442253,1356.9988857757041,0.49845482114406603,0.33081178588561766,0.010303041796706547
1.6948461699954107,0.5011855464043576,0.41705385930772004,0.26415522202865716,1.7362759801587566,16.881418488513443,1417.77638447058,0.5001185546404358,0.1421507393281387,0.01057839165137737
1.7141751443326132,0.4927464124241167,0.41060870784267517,0.28626480788186165,1.7847218940520289,15.566688546840867,1464.7629715808273,0.49927464124241167,0.2468358136609261,0.013144637998454093
1.7204649928374394,0.47779083002335493,0.4217011292541338,0.24884127729273695,1.782007032533399,15.109266079617267,1385.9394126495272,0.4977790830023355,0.21554927241936062,0.013910158817457455
1.718969201786743,0.49033372413183274,0.4119367234069359,0.30638862278367973,1.7638158345711195,16.197777700893855,1259.2658875738932,0.4990333724131833,0.15619118159246215,0.011857567497795226
1.6924117371516605,0.47788107017368764,0.4167649945776045,0.2899133597736372,1.7633071749602673,16.681746209130917,1259.106702584273,0.49778810701736875,0.24499470521765776,0.011173080556201389
1.7003618143622319,0.47821784969760955,0.4145007328254652,0.2635835116676533,1.7887385756981773,15.707796973793027,1308.2039207143393,0.4978217849697609,0.3083553924495228,0.012967706946696609
1.7099689514710534,0.48649908132713726,0.42859477903640697,0.27877993417771,1.7977946957054978,15.713877006976091,1085.5968100967784,0.4986499081327137,0.30807195291180944,0.01308921165217165
1.7196331769068354,0.4946055693815624,0.4277328113982171,0.26934938392888996,1.7948144615102652,16.459132532741293,1441.0864589272653,0.4994605569381562,0.26422068812768806,0.011891187735981763
1.6978123864323207,0.4733177198273614,0.42154390567671424,0.2753803282500885,1.7667444235648255,16.9204078418432,1311.803752586747,0.49733177198273615,0.23881895867439562,0.010902492703356885
